period,period_type,measure,value,change_from_previous,source_series
2019 JAN,months,CPIH annual inflation rate,1.8,-0.2,L55O
2019 FEB,months,CPIH annual inflation rate,1.8,0.0,L55O
2019 MAR,months,CPIH annual inflation rate,1.8,0.0,L55O
2019 APR,months,CPIH annual inflation rate,2.0,0.2,L55O
2019 MAY,months,CPIH annual inflation rate,1.9,-0.1,L55O
2019 JUN,months,CPIH annual inflation rate,1.9,0.0,L55O
2019 JUL,months,CPIH annual inflation rate,2.0,0.1,L55O
2019 AUG,months,CPIH annual inflation rate,1.7,-0.3,L55O
2019 SEP,months,CPIH annual inflation rate,1.7,0.0,L55O
2019 OCT,months,CPIH annual inflation rate,1.5,-0.2,L55O
2019 NOV,months,CPIH annual inflation rate,1.5,0.0,L55O
2019 DEC,months,CPIH annual inflation rate,1.4,-0.1,L55O
2020 JAN,months,CPIH annual inflation rate,1.8,0.4,L55O
2020 FEB,months,CPIH annual inflation rate,1.7,-0.1,L55O
2020 MAR,months,CPIH annual inflation rate,1.5,-0.2,L55O
2020 APR,months,CPIH annual inflation rate,0.9,-0.6,L55O
2020 MAY,months,CPIH annual inflation rate,0.7,-0.2,L55O
2020 JUN,months,CPIH annual inflation rate,0.8,0.1,L55O
2020 JUL,months,CPIH annual inflation rate,1.1,0.3,L55O
2020 AUG,months,CPIH annual inflation rate,0.5,-0.6,L55O
2020 SEP,months,CPIH annual inflation rate,0.7,0.2,L55O
2020 OCT,months,CPIH annual inflation rate,0.9,0.2,L55O
2020 NOV,months,CPIH annual inflation rate,0.6,-0.3,L55O
2020 DEC,months,CPIH annual inflation rate,0.8,0.2,L55O
2021 JAN,months,CPIH annual inflation rate,0.9,0.1,L55O
2021 FEB,months,CPIH annual inflation rate,0.7,-0.2,L55O
2021 MAR,months,CPIH annual inflation rate,1.0,0.3,L55O
2021 APR,months,CPIH annual inflation rate,1.6,0.6,L55O
2021 MAY,months,CPIH annual inflation rate,2.1,0.5,L55O
2021 JUN,months,CPIH annual inflation rate,2.4,0.3,L55O
2021 JUL,months,CPIH annual inflation rate,2.1,-0.3,L55O
2021 AUG,months,CPIH annual inflation rate,3.0,0.9,L55O
2021 SEP,months,CPIH annual inflation rate,2.9,-0.1,L55O
2021 OCT,months,CPIH annual inflation rate,3.8,0.9,L55O
2021 NOV,months,CPIH annual inflation rate,4.6,0.8,L55O
2021 DEC,months,CPIH annual inflation rate,4.8,0.2,L55O
2022 JAN,months,CPIH annual inflation rate,4.9,0.1,L55O
2022 FEB,months,CPIH annual inflation rate,5.5,0.6,L55O
2022 MAR,months,CPIH annual inflation rate,6.2,0.7,L55O
2022 APR,months,CPIH annual inflation rate,7.8,1.6,L55O
2022 MAY,months,CPIH annual inflation rate,7.9,0.1,L55O
2022 JUN,months,CPIH annual inflation rate,8.2,0.3,L55O
2022 JUL,months,CPIH annual inflation rate,8.8,0.6,L55O
2022 AUG,months,CPIH annual inflation rate,8.6,-0.2,L55O
2022 SEP,months,CPIH annual inflation rate,8.8,0.2,L55O
2022 OCT,months,CPIH annual inflation rate,9.6,0.8,L55O
2022 NOV,months,CPIH annual inflation rate,9.3,-0.3,L55O
2022 DEC,months,CPIH annual inflation rate,9.2,-0.1,L55O
2023 JAN,months,CPIH annual inflation rate,8.8,-0.4,L55O
2023 FEB,months,CPIH annual inflation rate,9.2,0.4,L55O
2023 MAR,months,CPIH annual inflation rate,8.9,-0.3,L55O
2023 APR,months,CPIH annual inflation rate,7.8,-1.1,L55O
2023 MAY,months,CPIH annual inflation rate,7.9,0.1,L55O
2023 JUN,months,CPIH annual inflation rate,7.3,-0.6,L55O
2023 JUL,months,CPIH annual inflation rate,6.4,-0.9,L55O
2023 AUG,months,CPIH annual inflation rate,6.3,-0.1,L55O
2023 SEP,months,CPIH annual inflation rate,6.3,0.0,L55O
